MGH60-P6-A11	MGH60-P6-B01	MGH97-P8-H02	MGH97-P8-H03
19.333	24.0	0.0	0.0
15.25	25.0	0.0	0.0
16.25	26.0	0.0	0.0
17.25	27.0	0.0	0.0
18.25	28.0	0.0	0.0
19.25	29.0	1.0	0.0
20.25	30.0	2.0	0.0
21.25	31.0	3.0	0.0
22.25	32.0	4.0	0.0
18.333	33.0	5.0	0.0
19.333	34.0	6.0	0.0
20.333	35.0	7.0	0.0
21.333	36.0	8.0	0.0
22.333	37.0	9.0	0.0
23.333	0.0	10.0	0.0
24.333	0.0	11.0	0.0
25.333	0.0	12.0	0.0
26.333	0.0	13.0	0.0
27.333	0.0	14.0	0.0
24.0	0.0	15.0	0.0
25.0	0.0	16.0	0.0
26.0	0.0	17.0	0.0
0.0	0.0	18.0	0.0
0.0	0.0	19.0	0.0
0.0	0.0	20.0	0.0
0.0	0.0	21.0	0.0
0.0	0.0	22.0	0.0
0.0	0.0	23.0	0.0
0.0	0.0	24.0	0.0
0.0	0.0	25.0	0.0
0.0	0.0	26.0	0.0
0.0	0.0	27.0	0.0
0.0	0.0	28.0	0.0
0.0	0.0	29.0	0.0
0.0	0.0	30.0	0.0
0.0	0.0	31.0	0.0
0.0	0.0	32.0	0.0
0.0	0.0	33.0	0.0
0.0	0.0	34.0	0.0
0.0	0.0	35.0	0.0
0.0	0.0	36.0	0.0
0.0	1.0	37.0	0.0
0.0	2.0	0.0	0.0
0.0	3.0	0.0	0.0
0.0	4.0	0.0	0.0
0.0	5.0	0.0	0.0
0.0	6.0	0.0	0.0
0.0	7.0	0.0	0.0
0.0	8.0	0.0	0.0
0.0	9.0	0.0	0.0
0.0	10.0	0.0	0.0
0.0	11.0	0.0	0.0
1.0	12.0	0.0	0.0
2.0	13.0	0.0	0.0
3.0	14.0	0.0	0.0
4.0	15.0	0.0	0.0
5.0	16.0	0.0	0.0
6.0	17.0	0.0	0.0
7.0	18.0	0.0	0.0
8.0	19.0	0.0	0.0
9.0	20.0	0.0	0.0
10.0	21.0	0.0	0.0
11.0	22.0	0.0	0.0
12.0	23.0	0.0	0.0
13.0	24.0	0.0	0.0
14.0	25.0	0.0	0.0
15.0	26.0	0.0	0.0
16.0	27.0	0.0	0.0
17.0	28.0	0.0	0.0
18.0	29.0	0.0	0.0
19.0	30.0	0.0	0.0
20.0	31.0	0.0	0.0
21.0	32.0	0.0	0.0
22.0	33.0	0.0	0.0
23.0	34.0	0.0	0.0
24.0	35.0	0.0	0.0
25.0	36.0	0.0	0.0
26.0	37.0	0.0	0.0
27.0	0.0	0.0	0.0
28.0	0.0	0.0	0.0
29.0	0.0	0.0	0.0
30.0	0.0	0.0	0.0
31.0	0.0	0.0	0.0
32.0	0.0	0.0	0.0
33.0	0.0	0.0	0.0
34.0	0.0	0.0	0.0
35.0	0.0	0.0	0.0
36.0	0.0	0.0	0.0
37.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	2.0	0.0
0.0	0.0	3.0	0.0
0.0	0.0	4.0	0.0
0.0	0.0	5.0	0.0
0.0	0.0	6.0	0.0
0.0	0.0	3.5	0.0
0.0	0.0	4.5	0.0
0.0	0.0	5.5	0.0
0.0	0.0	6.5	0.0
0.0	0.0	7.5	0.0
0.0	0.0	8.5	0.0
0.0	0.0	9.5	0.0
1.0	0.0	10.5	0.0
2.0	0.0	11.5	0.0
3.0	0.0	8.333	0.0
4.0	0.0	9.333	0.0
5.0	0.0	10.333	0.0
6.0	0.0	11.333	0.0
7.0	0.0	12.333	0.0
8.0	0.0	13.333	0.0
9.0	0.0	14.333	0.0
10.0	0.0	15.333	0.0
11.0	0.0	16.333	0.0
12.0	0.0	17.333	0.0
13.0	0.0	18.333	0.0
14.0	0.0	19.333	0.0
15.0	0.0	20.333	0.0
16.0	0.0	21.333	0.0
17.0	0.0	22.333	0.0
18.0	0.0	23.333	0.0
19.0	0.0	24.333	0.0
20.0	0.0	25.333	0.0
21.0	0.0	26.333	0.0
22.0	0.0	27.333	0.0
23.0	0.0	28.333	0.0
24.0	0.0	29.333	0.0
25.0	0.0	26.5	0.0
26.0	0.0	27.5	0.0
27.0	0.0	28.5	0.0
28.0	0.0	29.5	0.0
29.0	0.0	30.5	0.0
30.0	0.0	31.5	0.0
31.0	0.0	32.5	0.0
32.0	0.0	29.0	0.0
33.0	0.0	30.0	0.0
34.0	0.0	31.0	0.0
35.0	0.0	32.0	0.0
36.0	0.0	33.0	0.0
37.0	0.0	34.0	0.0
0.0	0.0	35.0	0.0
0.0	0.0	36.0	0.0
0.0	0.0	37.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
14.0	0.0	0.0	0.0
12.0	0.0	0.0	0.0
13.0	0.0	0.0	0.0
14.0	0.0	0.0	0.0
15.0	0.0	0.0	0.0
16.0	0.0	0.0	0.0
17.0	0.0	0.0	0.0
15.333	0.0	0.0	0.0
16.333	0.0	0.0	0.0
17.333	0.0	0.0	0.0
18.333	0.0	0.0	0.0
19.333	0.0	0.0	0.0
20.333	0.0	0.0	0.0
16.0	0.0	0.0	0.0
17.0	0.0	0.0	0.0
13.75	0.0	0.0	0.0
13.615	0.0	0.0	0.0
11.0	0.0	0.0	0.0
12.0	0.0	0.0	0.0
13.0	0.0	0.0	0.0
14.0	0.0	0.0	0.0
12.286	0.0	0.0	0.0
13.286	0.0	0.0	0.0
14.286	0.0	0.0	0.0
13.375	0.0	0.0	0.0
14.375	1.0	0.0	0.0
15.375	2.0	0.0	0.0
16.375	3.0	0.0	0.0
17.375	4.0	0.0	0.0
15.571	5.0	0.0	0.0
16.571	6.0	0.0	0.0
17.571	7.0	0.0	0.0
14.8	8.0	0.0	0.0
15.8	9.0	0.0	0.0
16.8	10.0	0.0	0.0
17.8	11.0	0.0	0.0
18.8	12.0	0.0	0.0
18.562	13.0	0.0	0.0
19.562	14.0	0.0	0.0
16.167	15.0	0.0	0.0
17.167	16.0	0.0	0.0
18.167	17.0	0.0	0.0
19.167	18.0	0.0	0.0
19.118	19.0	0.0	0.0
20.118	20.0	0.0	0.0
21.118	21.0	0.0	0.0
22.118	22.0	0.0	0.0
21.833	23.0	0.0	0.0
22.833	24.0	0.0	0.0
23.833	25.0	0.0	0.0
24.833	26.0	0.0	0.0
24.312	27.0	0.0	0.0
25.312	28.0	0.0	0.0
22.417	29.0	0.0	0.0
20.25	30.0	0.0	0.0
15.5	31.0	0.0	0.0
16.5	32.0	0.0	0.0
17.5	33.0	0.0	0.0
18.5	34.0	0.0	0.0
18.077	35.0	0.0	0.0
17.714	36.0	0.0	0.0
18.714	37.0	0.0	0.0
16.667	0.0	0.0	0.0
17.667	0.0	0.0	0.0
14.933	0.0	0.0	0.0
15.933	0.0	0.0	0.0
16.933	0.0	0.0	0.0
16.812	0.0	0.0	0.0
17.812	0.0	0.0	0.0
18.812	0.0	0.0	0.0
17.214	1.0	0.0	0.0
18.214	2.0	0.0	0.0
19.214	3.0	0.0	0.0
18.867	4.0	0.0	0.0
19.867	5.0	0.0	0.0
17.187	6.0	0.0	0.0
18.187	7.0	0.0	0.0
14.846	8.0	0.0	0.0
15.846	9.0	0.0	0.0
16.846	10.0	0.0	0.0
17.846	11.0	0.0	0.0
18.846	12.0	0.0	0.0
19.846	13.0	0.0	0.0
19.357	14.0	0.0	0.0
19.0	7.5	0.0	0.0
14.0	10.5	0.0	0.0
15.0	10.882	0.0	1.0
13.297	11.603	0.0	2.0
14.297	12.603	0.0	3.0
15.24	13.603	0.0	4.0
12.957	10.99	0.0	1.0
13.667	11.515	0.5	0.909
14.375	12.539	1.5	1.909
14.645	13.539	2.5	2.909
15.645	14.539	3.5	3.909
16.468	15.539	4.5	4.909
11.813	13.715	5.5	5.909
12.813	14.715	6.5	6.909
13.638	15.715	7.5	7.909
14.638	16.715	8.5	8.909
15.638	17.715	9.5	9.909
16.284	18.416	10.5	10.909
15.963	18.479	11.5	11.909
15.58	18.0	12.5	12.909
16.123	17.944	13.5	13.909
16.46	18.766	14.5	15.0
17.354	19.404	10.333	13.714
18.354	19.906	11.333	14.118
16.026	18.162	6.167	9.519
16.02	17.882	7.167	10.143
16.688	18.882	8.167	10.759
17.556	19.729	9.167	11.759
18.428	20.729	10.167	12.759
18.926	21.407	11.167	13.3
19.027	21.155	12.167	13.406
18.755	20.467	13.167	12.806
18.05	19.291	14.167	13.806
17.78	18.915	14.0	14.231
18.141	19.109	15.0	15.231
16.391	18.068	12.235	14.067
17.172	18.504	13.235	15.067
17.144	19.082	12.737	15.062
17.693	19.242	13.1	15.735
17.301	18.405	14.1	16.292
17.602	18.153	13.727	16.939
16.899	17.47	14.087	16.904
17.712	18.333	15.087	17.904
18.423	18.912	15.417	18.529
17.406	16.421	14.455	17.583
17.768	16.088	12.0	15.81
18.768	16.939	12.435	15.75
19.768	17.939	13.435	16.75
19.57	17.584	13.833	17.317
20.476	18.437	14.833	17.825
16.357	15.43	15.833	18.366
16.437	16.43	16.16	19.366
17.209	16.955	17.16	19.881
17.974	17.793	18.16	20.881
18.497	18.625	18.423	21.372
18.899	18.955	19.423	22.372
19.299	19.955	20.423	23.372
20.071	20.645	21.423	24.048
19.683	20.178	20.103	23.909
20.434	21.0	21.103	24.356
21.305	21.726	20.926	24.767
21.657	22.158	21.926	25.182
19.912	21.0	18.619	22.706
18.865	20.057	17.167	19.575
19.383	20.86	18.167	20.128
20.252	21.657	19.167	21.128
21.006	21.703	18.615	21.049
21.726	22.36	19.615	21.122
22.182	22.602	20.615	20.268
22.581	22.604	21.615	19.459
23.168	23.248	22.615	20.459
22.368	22.344	21.667	18.41
23.0	22.871	22.667	19.41
20.683	21.575	21.174	17.212
21.367	21.692	21.25	18.212
20.877	22.205	20.0	17.333
21.877	23.205	20.455	17.8
22.743	24.205	20.714	18.8
21.348	21.74	19.0	19.172
18.87	19.97	18.273	18.115
15.592	15.471	15.704	12.744
15.806	15.779	15.296	13.744
15.437	16.213	15.714	12.786
15.779	16.235	15.077	13.786
15.589	16.216	14.615	14.786
16.472	17.216	15.615	15.786
15.917	15.962	15.76	15.725
16.664	16.481	16.76	16.725
17.511	16.948	17.76	17.205
17.264	17.711	17.958	18.205
17.943	17.676	18.2	18.231
18.464	18.425	19.2	18.75
16.896	17.922	19.458	16.227
17.594	18.429	20.458	16.87
17.522	18.244	20.96	16.642
17.388	17.73	20.333	17.315
16.833	16.827	18.48	17.226
16.796	16.94	19.48	17.846
17.528	17.94	20.48	18.846
17.561	18.0	20.654	19.115
18.42	18.762	21.0	20.115
17.512	18.547	19.818	18.913
17.444	18.545	20.818	19.913
17.374	18.111	21.818	18.5
18.101	17.897	20.286	18.038
18.825	18.649	20.45	18.667
19.691	19.16	21.45	18.918
20.426	20.16	22.45	19.75
19.986	18.671	23.45	20.358
18.477	17.908	19.609	18.491
18.15	18.278	17.556	17.768
18.329	18.88	18.556	18.418
19.093	19.467	18.846	19.418
19.744	20.275	19.846	19.702
20.744	21.275	20.846	20.702
21.213	21.337	21.846	21.328
20.611	20.337	20.72	20.698
21.196	20.978	21.042	21.698
18.795	16.778	17.842	18.72
19.515	17.493	17.778	19.72
17.968	16.887	17.647	19.217
16.563	15.301	14.409	17.885
15.727	14.646	14.333	18.12
16.0	15.458	14.2	18.36
17.0	16.458	15.2	18.17
17.449	17.21	16.2	19.17
17.804	18.036	17.2	19.347
18.293	18.81	17.333	20.347
19.162	19.129	17.35	21.0
19.893	19.895	17.476	21.66
18.719	19.386	18.476	20.415
19.035	18.795	18.591	21.415
18.849	18.476	19.591	20.641
18.74	17.342	18.85	21.211
19.308	17.889	17.95	21.211
18.273	17.268	18.048	21.5
19.13	18.048	18.182	22.211
19.256	17.736	16.696	22.811
20.256	18.736	17.696	23.811
20.507	18.462	17.24	21.372
19.831	18.237	16.889	21.864
19.605	18.17	17.889	19.949
19.864	18.739	18.154	19.5
20.733	19.517	18.444	19.974
20.63	19.021	18.75	20.974
21.021	18.843	17.839	19.5
19.9	17.34	17.697	20.023
17.23	15.937	15.5	17.0
16.698	16.25	13.192	15.895
16.432	15.806	13.667	15.659
17.015	16.253	14.143	16.659
17.729	17.253	15.143	16.615
17.42	16.888	14.125	15.614
17.729	17.107	15.125	15.595
17.474	16.422	15.419	14.949
18.474	17.422	16.419	15.949
17.77	17.206	14.595	16.122
18.77	18.206	15.595	17.122
18.869	18.505	16.0	18.122
17.164	16.891	14.375	15.444
18.008	16.868	15.0	16.444
18.066	17.451	16.0	16.389
18.165	18.25	17.0	16.919
18.568	19.25	18.0	17.919
17.199	19.01	17.417	15.6
17.336	19.825	17.857	16.195
17.035	19.854	16.5	16.023
17.75	20.674	16.974	17.023
18.328	21.274	17.974	18.023
17.683	20.096	17.55	18.6
18.137	20.914	18.55	19.182
18.095	21.097	18.619	18.128
18.584	21.053	18.279	17.937
18.539	21.344	18.833	18.937
19.0	20.552	18.488	19.14
18.568	20.204	17.721	19.0
16.022	17.766	16.1	17.377
16.461	17.667	16.229	16.236
16.62	18.098	16.021	16.852
17.5	19.098	17.021	17.472
15.231	16.492	15.981	15.426
14.954	15.759	15.673	14.831
14.071	14.366	15.421	14.942
14.394	14.392	14.945	14.585
14.654	14.444	15.113	15.234
13.095	13.591	14.069	13.044
13.906	14.481	15.069	13.264
14.205	14.118	15.684	13.043
14.858	14.52	16.304	14.043
15.614	15.398	17.304	15.043
15.595	14.958	16.788	14.354
16.259	15.569	16.818	15.354
14.18	13.868	14.412	14.365
14.941	14.296	14.971	15.092
14.69	14.015	13.906	15.5
15.69	14.628	14.54	16.5
16.241	15.628	15.54	17.5
16.867	16.388	16.54	17.513
17.867	17.239	17.266	18.513
18.634	18.095	17.712	19.267
19.008	18.818	18.712	19.76
19.607	18.854	19.712	20.487
19.521	18.66	19.889	20.042
20.372	19.66	20.889	20.803
20.257	19.839	19.817	20.197
21.073	20.418	20.817	21.197
22.073	21.303	21.817	22.197
22.311	21.743	22.293	22.986
23.079	22.743	23.293	23.986
19.931	18.145	20.828	18.148
20.291	18.718	20.968	18.709
19.83	18.674	21.625	19.045
20.504	18.961	22.129	19.632
20.947	19.655	22.633	20.012
16.293	15.893	19.893	17.188
17.238	16.632	20.893	18.188
18.048	17.358	21.509	18.747
18.983	18.358	22.509	19.747
17.748	16.959	21.804	18.052
17.161	16.447	21.408	17.77
16.61	15.895	21.391	17.0
15.208	14.282	19.51	15.341
