Position	aMin	aMean
198	2.26666666666667	3.88888888888889
199	2.56	3.53333333333333
200	-100	-100
201	0	1.5
202	-100	-100
203	17.8	24.25
204	4.46666666666667	6.36111111111111
205	2.81428571428571	5.51831501831502
206	9	9
207	3.21325757575758	7.27676484999246
208	-100	-100
209	3	4.5
210	10.7333333333333	16.0444444444444
211	9.6	14.6166666666667
212	1.12	3.07222222222222
213	9.2	9.5
214	3.6	4.70238095238095
215	6.6	7.5
216	38	38
217	8	8
218	-100	-100
219	37.6666666666667	37.6666666666667
220	25.2	27
221	25	25
222	1.86666666666667	8.47222222222222
223	-100	-100
224	14.2	23.5
225	-100	-100
226	7	7
227	7.3	11.1666666666667
228	7.6	10
229	34	34
230	23.3333333333333	23.3333333333333
231	3.65	9.125
232	0	0
233	34	34
234	1.6	4
235	12.4666666666667	19.1666666666667
236	1.8	4.5
237	27.2	31.25
238	12.2	21.3333333333333
239	32	32
240	-100	-100
241	14	14
242	28.4833333333333	29.7083333333333
243	8.2	20.5
244	40	40
245	-100	-100
246	40.5	40.5
247	0	0
248	-100	-100
249	7	7
250	0	0
251	-100	-100
252	5	12.5
253	36	36
254	1.8	4.5
255	6.4	16
256	-100	-100
257	31	31
258	-100	-100
259	-100	-100
260	37	37
261	26.6666666666667	26.6666666666667
262	4	6.25
263	-100	-100
264	0	6
265	-100	-100
266	8	8
267	40.5	40.5
268	0	0
269	10.6	11.5
270	30.5	30.5
271	7	7
272	0	0
273	16.2	22.5555555555556
274	22.6666666666667	22.6666666666667
275	-100	-100
276	10	10
277	2	5
278	-100	-100
279	11	11
280	9.2	15.5
281	7	7
282	14.6666666666667	16.6666666666667
283	3.68888888888889	7.14074074074074
284	15	16.5
285	0	0
286	5.3	11.6666666666667
287	27	27
288	14.6666666666667	14.6666666666667
289	35.0083333333333	35.0083333333333
290	25	25
291	7.4	18.5
292	10.6	16
293	14	20
294	6.2	6.5
295	38	38
296	0	0
297	29.6	34.6666666666667
298	24.5	24.5
299	24.6666666666667	24.6666666666667
300	10	10
301	-100	-100
302	17	24.5
303	-100	-100
304	0	0
305	0	0
306	9.5	9.5
307	13.9	18.25
308	0	0
309	-100	-100
310	0	0
311	33	33
312	7.46666666666667	7.66666666666667
313	9.6	12
314	15.6	24
315	1.52	3.8
316	16.3333333333333	16.8333333333333
317	-100	-100
318	24.5	24.5
319	39	39
320	35.1	35.25
321	-100	-100
322	19.3333333333333	27.0833333333333
323	9	9
324	23	23
325	10	10
326	13.2	22.5
327	22.5	23.25
328	10	10
329	6.2	6.5
330	-100	-100
331	-100	-100
332	-100	-100
333	12.4666666666667	16.3888888888889
334	3.5	3.5
335	-100	-100
336	0	0
337	-100	-100
338	14.3	22.25
339	9	9
340	7	7
341	-100	-100
342	-100	-100
343	-100	-100
344	-100	-100
345	28.4	30.5
346	19.9411764705882	19.9411764705882
347	7.51111111111111	17.5925925925926
348	0	0
349	20.6	27.5
350	6	6
351	34	34
352	7	7
353	13.7	22.25
354	20.4666666666667	25.6666666666667
355	8.8	11.3333333333333
356	4.2	10.5
357	7	7
358	-100	-100
359	-100	-100
360	31	31
361	9.2	9.5
362	15.4	24.25
363	22.0666666666667	29.1666666666667
364	-100	-100
365	37.8	39
366	12.6	15
367	33.0666666666667	33.9166666666667
368	8	8
369	2.6	6.5
370	7	7
371	-100	-100
372	-100	-100
373	-100	-100
374	16.4	24.5
375	-100	-100
376	8.6	9.5
377	-100	-100
378	-100	-100
379	36.5	36.5
380	-100	-100
381	-100	-100
382	41	41
383	10	10
384	23	23
385	31	31
386	-100	-100
387	-100	-100
388	0	0
389	-100	-100
390	-100	-100
391	-100	-100
392	-100	-100
393	-100	-100
394	-100	-100
395	9	9
396	-100	-100
397	9	9
398	-100	-100
399	15.6	24
400	-100	-100
401	38	38
402	0	0
403	0	0
404	9	9
405	31.3333333333333	31.3333333333333
406	10	10
407	20.5	20.5
408	27	31.5
409	-100	-100
410	41	41
411	11	17
412	7	7
413	-100	-100
414	-100	-100
415	12	19.5
416	9	9
417	4.2	10.5
418	22.6	30.1666666666667
419	-100	-100
420	-100	-100
421	21.6666666666667	21.6666666666667
422	37	37
423	35.65	36.625
424	35	35
425	-100	-100
426	8.26666666666667	12.0416666666667
427	3.4	8.5
428	13.1333333333333	18.3333333333333
429	0	0
430	4.5	4.5
431	32.8888888888889	34.2222222222222
432	-100	-100
433	29.3333333333333	29.3333333333333
434	38	38
435	19	19
436	15.4666666666667	23.6666666666667
437	10	10
438	40	40
439	-100	-100
440	6.6	6.75
441	8.93333333333333	10.3333333333333
442	17	17
443	14.4	24
444	10.2	15
445	18.6	28
446	4	15.6666666666667
447	2.26666666666667	4.22222222222222
448	9.2	9.5
449	5.9	9.16666666666667
450	31	31
451	8	20
452	12	13.5
453	-100	-100
454	22.2	22.2
455	30	30
456	14.9	19.9666666666667
457	-100	-100
458	8.2	8.5
459	9	9
460	0	0
461	0	0
462	23	23
463	13.9	22.75
464	-100	-100
465	-100	-100
466	-100	-100
467	15.5	26
468	11	11
469	25.9	30.8531746031746
470	0	0
471	1.6	7.66666666666667
472	17.7	20.25
473	9.2	18.3333333333333
474	31.8	34.5
475	0	0
476	38.5	39.5
477	36.5	36.5
478	17	17
479	31	31
480	10	10
481	14.1772727272727	22.1893939393939
482	0	0
483	6.96	17.4
484	16	16
485	16	16
486	25.96	31.6
487	16.6666666666667	16.6666666666667
488	11.2	13
489	6.05	15.125
490	2.6	6.5
491	22.8	23.25
492	8.8	10
493	19	19
494	29.3333333333333	29.3333333333333
495	-100	-100
496	0	0
497	5	5
498	10	19.6666666666667
499	0	0
500	6	7.55555555555556
501	7.2	7.5
502	11.16	12.9
503	11.2	13.3333333333333
504	-100	-100
505	8	8.33333333333333
506	9	9
507	5.28	13.2
508	0	0
509	23.4	27.75
510	9.45	10.125
511	0	0
512	4.1	10.25
513	8	8
514	4	4
515	0.9	2.25
516	4.7	11.75
517	5.6	14
518	1.3	3.25
519	0	0
520	0	0
521	4.5	11.25
522	3.4	8.5
523	-100	-100
524	0	0
525	31.75	31.75
526	0	0
527	16.5	16.5
528	6	15
529	2.8	15.2083333333333
530	0	0
531	36.5	36.5
532	15.6666666666667	19.1666666666667
533	11.4	21
534	-100	-100
535	-100	-100
536	0	0
537	9	9
538	2.06666666666667	5.16666666666667
539	-100	-100
540	12.3	21.75
541	24.8666666666667	30.6666666666667
542	1.6	4
543	0	0
544	0	0
545	8	20
546	4	7.94444444444444
547	4.5	4.5
548	15.8	22.8333333333333
549	0	0
550	10	19.75
551	36.5	36.5
552	4.8	12
553	16.3333333333333	20.8333333333333
554	27.8	32
555	0	0.777777777777778
556	13.4	24.8333333333333
557	0	0
558	22.15	23.875
559	1.35	3.375
560	0	12.3333333333333
561	6.46666666666667	7.16666666666667
562	14	14
563	3.66666666666667	5.66666666666667
564	1.2	4
565	0.8	2
566	0.5	1.25
567	24.52	29.7333333333333
568	0.9	2.25
569	12.2666666666667	14.1666666666667
570	13.6666666666667	13.6666666666667
571	17	17
572	-100	-100
573	35	35
574	14.2	23.5
575	22.8	29
576	26.3	31.25
577	36.2	36.5
578	-100	-100
579	0	12.8
580	-100	-100
581	13.64	14.6
582	25	25
583	19.8222222222222	26.5555555555556
584	-100	-100
585	-100	-100
586	10.8	15
587	29.4	31.5
588	3	3
589	4.1	10.25
590	14.4628571428571	14.5142857142857
591	9.2	9.5
592	2	5
593	2.6	6.5
594	1.6	4
595	7	7
596	5.2	16
597	7.45	18.625
598	2.1	5.25
599	3.7	5.18888888888889
600	3.56666666666667	4.72222222222222
601	1.8	4.5
602	7.4	12.9444444444444
603	19	27
604	19	27
605	9.2	14.5
606	34.7333333333333	36.3333333333333
607	30	30
608	19.65	19.875
609	10.0285714285714	12.3214285714286
610	25.8666666666667	25.9166666666667
611	4.04666666666667	4.71666666666667
612	0.7	1.75
613	0.8	2
614	7.8	8.88888888888889
615	4.8	12
616	1.6	4
617	5.86666666666667	6.66666666666667
618	0	1.16666666666667
619	10	10
620	5.4	6.22222222222222
621	6.8	17
622	0	0
623	-100	-100
624	1.95	4.875
625	0	0
626	0	0
627	0	0
628	3.5	3.5
629	-100	-100
630	14.4	15
631	3.6	9
632	-100	-100
633	9.8	17.2666666666667
634	1.8	4.5
635	0	5.44444444444444
636	0	0
637	1.8	4.5
638	7	7
639	-100	-100
640	-100	-100
641	7.09333333333333	13.8111111111111
642	3.4	7.83333333333333
643	1.6	4
644	6	6
645	37	37
646	4.86666666666667	13.4722222222222
647	0	3.66666666666667
648	0	2.5
649	3.4	8.5
650	21.5555555555556	21.5555555555556
651	6.95846153846154	7.01153846153846
652	16.4	17
653	0	0
654	23.1	26.3518518518519
655	11.6	13.3333333333333
656	4.9	8.84848484848485
657	0	0
658	0	1.11111111111111
659	13	22
660	11.1333333333333	11.8333333333333
661	0	0
662	5.8	6.66666666666667
663	8.48	19.4
664	8	8
665	41	41
666	10	10
667	17.6666666666667	24.6666666666667
668	13	23.5
669	39.5	39.5
670	8	8
671	-100	-100
672	41	41
673	2	5
674	-100	-100
675	8	8
676	11.2	16
677	3.4	8.5
678	25.775	26.1875
679	20.5	20.5
680	40	40
681	37	37
682	8	8
683	5.96	8.24166666666667
684	2	5
685	0	0
686	33.5	33.5
687	0	0
688	3.8	9.5
689	-100	-100
690	14.6	24.5
691	18.4	26.5
692	41	41
693	-100	-100
694	4	9
695	-100	-100
696	19.5	19.5
697	4	6.66666666666667
698	0	0
699	10	10
700	9.73333333333333	11.3333333333333
701	15.6	16.5
702	17	17
703	-100	-100
704	-100	-100
705	-100	-100
706	-100	-100
707	-100	-100
708	39	39
709	24.6666666666667	24.6666666666667
710	10	10
711	-100	-100
712	0	0
713	-100	-100
714	-100	-100
715	37	37
716	-100	-100
717	-100	-100
718	-100	-100
719	-100	-100
720	41	41
721	-100	-100
722	-100	-100
723	2	10.5555555555556
724	4.6	9
725	38	38
726	-100	-100
727	0	0
728	-100	-100
729	7.52	12.2
730	-100	-100
731	-100	-100
732	0	0
733	0	0
734	-100	-100
735	8	8
736	-100	-100
737	-100	-100
738	-100	-100
739	0	0
740	-100	-100
741	-100	-100
742	-100	-100
743	-100	-100
744	-100	-100
745	-100	-100
746	-100	-100
747	-100	-100
748	-100	-100
749	-100	-100
750	-100	-100
751	-100	-100
752	-100	-100
753	-100	-100
754	-100	-100
755	-100	-100
756	-100	-100
757	-100	-100
758	-100	-100
759	-100	-100
760	-100	-100
761	-100	-100
762	-100	-100
763	17	17
764	-100	-100
765	41	41
766	-100	-100
767	-100	-100
768	10	10
769	-100	-100
770	-100	-100
771	-100	-100
772	-100	-100
773	32	32
774	8	8
775	8	8
776	-100	-100
777	-100	-100
778	-100	-100
779	10	10
780	-100	-100
781	-100	-100
782	-100	-100
783	-100	-100
784	-100	-100
785	-100	-100
786	-100	-100
787	-100	-100
788	16	16
789	-100	-100
790	-100	-100
791	-100	-100
792	-100	-100
793	-100	-100
794	-100	-100
795	-100	-100
796	-100	-100
797	-100	-100
798	-100	-100
799	-100	-100
800	-100	-100
801	-100	-100
802	-100	-100
803	-100	-100
804	-100	-100
805	-100	-100
806	19	19
807	-100	-100
808	-100	-100
809	-100	-100
810	-100	-100
811	-100	-100
812	-100	-100
813	-100	-100
814	-100	-100
815	10	10
816	10	10
817	-100	-100
818	-100	-100
819	-100	-100
820	-100	-100
821	-100	-100
822	-100	-100
823	-100	-100
824	-100	-100
825	-100	-100
826	-100	-100
827	8	8
828	-100	-100
829	-100	-100
830	-100	-100
831	10	10
832	-100	-100
833	-100	-100
834	-100	-100
835	-100	-100
836	-100	-100
837	-100	-100
838	-100	-100
839	-100	-100
840	-100	-100
841	10	10
842	-100	-100
843	-100	-100
844	0	0
845	-100	-100
846	-100	-100
847	-100	-100
848	-100	-100
849	-100	-100
850	-100	-100
851	-100	-100
852	8	8
853	25	25
854	-100	-100
855	-100	-100
856	-100	-100
857	-100	-100
858	-100	-100
859	-100	-100
860	-100	-100
861	8	8
862	-100	-100
863	-100	-100
864	-100	-100
865	-100	-100
866	8.5	8.5
867	-100	-100
868	13.4	18.5
869	-100	-100
870	-100	-100
871	-100	-100
872	-100	-100
873	-100	-100
874	35	35
875	-100	-100
876	-100	-100
877	-100	-100
878	-100	-100
879	10	10
880	-100	-100
881	-100	-100
882	-100	-100
883	-100	-100
884	-100	-100
885	-100	-100
886	-100	-100
887	-100	-100
888	-100	-100
889	-100	-100
890	-100	-100
891	-100	-100
892	-100	-100
893	-100	-100
894	-100	-100
895	-100	-100
896	-100	-100
897	0	0
898	-100	-100
899	-100	-100
900	-100	-100
901	-100	-100
902	-100	-100
903	-100	-100
904	8	8
905	0	0
906	-100	-100
907	-100	-100
908	-100	-100
909	-100	-100
910	7	7
911	-100	-100
912	-100	-100
913	-100	-100
914	-100	-100
915	7	7
916	-100	-100
917	-100	-100
918	0	0
919	-100	-100
920	9	9
921	-100	-100
922	8	8
923	-100	-100
924	-100	-100
925	0	0
926	-100	-100
927	-100	-100
928	-100	-100
929	-100	-100
930	-100	-100
931	-100	-100
932	-100	-100
933	-100	-100
934	-100	-100
935	-100	-100
936	1.8	4.5
937	-100	-100
938	-100	-100
939	-100	-100
940	-100	-100
941	24.2	27.5
942	-100	-100
943	-100	-100
944	0	0
945	-100	-100
946	-100	-100
947	-100	-100
948	5	5
949	-100	-100
950	-100	-100
951	-100	-100
952	27	27
953	-100	-100
954	11	11
955	0	0
956	-100	-100
957	-100	-100
958	-100	-100
959	8	8
960	-100	-100
961	12	12
962	-100	-100
963	-100	-100
964	-100	-100
965	-100	-100
966	-100	-100
967	-100	-100
968	-100	-100
969	6	6
970	-100	-100
971	35.3333333333333	35.8333333333333
972	0	0
973	-100	-100
974	-100	-100
975	-100	-100
976	-100	-100
977	8	8
978	40	40
979	-100	-100
980	-100	-100
981	-100	-100
982	6.5	6.5
983	-100	-100
984	-100	-100
985	-100	-100
986	-100	-100
987	-100	-100
988	-100	-100
989	-100	-100
990	-100	-100
991	-100	-100
992	-100	-100
993	-100	-100
994	-100	-100
995	-100	-100
996	-100	-100
997	-100	-100
998	-100	-100
999	-100	-100
1000	-100	-100
1001	-100	-100
1002	17	17
1003	-100	-100
1004	-100	-100
1005	-100	-100
1006	-100	-100
1007	0	0
1008	0	0
1009	-100	-100
1010	8	8
1011	-100	-100
1012	-100	-100
1013	33	33
1014	-100	-100
1015	-100	-100
1016	-100	-100
1017	-100	-100
1018	-100	-100
1019	-100	-100
1020	-100	-100
1021	-100	-100
1022	-100	-100
1023	-100	-100
1024	-100	-100
1025	-100	-100
1026	-100	-100
1027	-100	-100
1028	-100	-100
1029	-100	-100
1030	-100	-100
1031	-100	-100
1032	10	10
1033	-100	-100
1034	-100	-100
1035	-100	-100
1036	-100	-100
1037	-100	-100
1038	-100	-100
1039	-100	-100
1040	-100	-100
1041	-100	-100
1042	-100	-100
1043	-100	-100
1044	-100	-100
1045	-100	-100
1046	-100	-100
1047	-100	-100
1048	-100	-100
1049	-100	-100
1050	-100	-100
1051	-100	-100
1052	-100	-100
1053	-100	-100
1054	-100	-100
1055	-100	-100
1056	-100	-100
1057	-100	-100
1058	-100	-100
1059	-100	-100
1060	-100	-100
1061	-100	-100
1062	-100	-100
1063	-100	-100
1064	-100	-100
1065	-100	-100
1066	-100	-100
1067	-100	-100
1068	-100	-100
1069	-100	-100
1070	-100	-100
1071	-100	-100
1072	-100	-100
1073	-100	-100
1074	-100	-100
1075	-100	-100
1076	-100	-100
1077	-100	-100
1078	-100	-100
1079	-100	-100
1080	-100	-100
1081	-100	-100
1082	-100	-100
1083	-100	-100
1084	-100	-100
1085	-100	-100
1086	-100	-100
1087	-100	-100
1088	-100	-100
1089	0	0
1090	3.6	4.5
1091	4.06666666666667	5.66666666666667
1092	-100	-100
1093	15.0526315789474	17.0065789473684
1094	-100	-100
1095	-100	-100
1096	8	8
1097	23.5	23.5
1098	24.8	30.5
1099	11.5	21.1666666666667
1100	39	39
1101	-100	-100
1102	3.2	15.6666666666667
1103	-100	-100
1104	6.2	8
1105	8.2	20.5
1106	17	17
1107	8.4	9
1108	14.9	20
1109	37.6666666666667	37.6666666666667
1110	18.2666666666667	23.4166666666667
1111	16	27
1112	-100	-100
1113	34.5263157894737	34.5263157894737
1114	20.5	20.5
1115	10.7	13.25
1116	0.7	1.75
1117	23.7714285714286	29.3095238095238
1118	0	0
1119	30.3333333333333	30.3333333333333
1120	7.66666666666667	19.1666666666667
1121	40.5	40.5
1122	9	9
1123	14.56	21.4
1124	-100	-100
1125	22.75	22.75
1126	-100	-100
1127	0	0
1128	3.2	8
1129	5.5	5.5
1130	15.1	24.25
1131	6.84444444444444	19.3703703703704
1132	30.6666666666667	30.6666666666667
1133	0	0
1134	0	0
1135	28.2	33
1136	11.8	22
1137	8.2	8.875
1138	27	27
1139	25	25.75
1140	14.1	20.625
1141	28.3333333333333	28.3333333333333
1142	9	9
1143	12	15
1144	11.5	13.75
1145	1.75	4.375
1146	6.32	15.8
1147	9.8	17.75
1148	18.6	27
1149	9.28	15.8583333333333
1150	0	0
1151	11.6	19.125
1152	18.6	27
1153	14.2	25.3333333333333
1154	5.13333333333333	12.8333333333333
1155	35.75	35.75
1156	12.1	16.75
1157	6.88	11.2
1158	6.51428571428571	16.2857142857143
1159	19.62	19.95
1160	12.4606060606061	16.6515151515152
1161	4.2	4.5
1162	0	2.93333333333333
1163	6.15	9.375
1164	5.93333333333333	8.08333333333333
1165	24	30
1166	13.1	17.1203703703704
1167	7.72	8.8
1168	5.98781512605042	7.1108776844071
1169	23.475	25.2083333333333
1170	24.6363636363636	26.7159090909091
1171	12.095	17.6375
1172	15.2	18.8333333333333
1173	13.4333333333333	15.3333333333333
1174	23.475	27.75
1175	3.54545454545454	8.86363636363636
1176	21.9230769230769	22.1826923076923
1177	4.2	5.25
1178	32.35	34.75
1179	6.53333333333333	7.83333333333333
1180	26.4285714285714	28.5714285714286
1181	6.13333333333333	15.3333333333333
1182	21.825	25.3125
1183	17	17.375
1184	33.8	36.5
1185	5.16666666666667	7.91666666666667
1186	14.0666666666667	18.2222222222222
1187	11.1969230769231	15.3923076923077
1188	18.9675213675214	19.5854700854701
1189	6.24666666666667	7.21666666666667
1190	15.5285714285714	22.4880952380952
1191	0.6	1.5
1192	5.73333333333333	16.6888888888889
1193	14.4428571428571	23.4190476190476
1194	11.6416666666667	12.1041666666667
1195	9.87142857142857	10.1071428571429
1196	7.06666666666667	15.2222222222222
1197	17.0321428571429	22.2232142857143
1198	15.5	18.5
1199	6.5	17.3333333333333
1200	14.45	18.125
1201	25.6145454545455	26.2363636363636
1202	9.4	11
1203	35.4	37.5
1204	10.1	13.7857142857143
1205	14.4148148148148	14.7037037037037
1206	6.2	13.1176470588235
1207	12.5408695652174	13.9521739130435
1208	27.7666666666667	30.6666666666667
1209	20.06	26.9666666666667
1210	21.55	22.375
1211	15.9809523809524	17.9656084656085
1212	25.1157894736842	25.6644736842105
1213	20.2166666666667	24.5416666666667
1214	20.42	28.6
1215	9.1	15.5416666666667
1216	17.7454545454545	18.8636363636364
1217	14.65	17.3125
1218	25.9422222222222	26.0055555555556
1219	11.1	13
1220	13.4666666666667	14.1666666666667
1221	5.86666666666667	13.4771241830065
1222	19.4454545454545	24.1767676767677
1223	27.2181818181818	29.0454545454545
1224	28.6596153846154	31.4983974358974
1225	16.8666666666667	19.6666666666667
1226	25.3857142857143	26.9017857142857
1227	17.3111111111111	20.0277777777778
1228	20.5	26.4452269170579
1229	23.664	25.44
1230	24.0511111111111	26.6777777777778
1231	26.8857142857143	29.3392857142857
1232	12.8666666666667	19.7777777777778
1233	23.2416666666667	25.3541666666667
1234	0	3
1235	25.98	28.95
1236	30.5333333333333	31.3333333333333
1237	17.35	24.0416666666667
1238	3.4	8.5
1239	8.2	14.1111111111111
1240	12.42	16.95
1241	8.4	14.0555555555556
1242	11.7	14.25
1243	25.4857142857143	27.9285714285714
1244	16.2	24.75
1245	7.79583333333333	9.42361111111111
1246	3.86666666666667	9.66666666666667
1247	19.24	26.6444444444444
1248	6.26666666666666	14.6388888888889
1249	31.5181818181818	34.8712121212121
1250	12.4666666666667	14.6666666666667
1251	5.34666666666667	8.36666666666667
1252	11.2	21.6666666666667
1253	33.4952380952381	33.8095238095238
1254	6.45	9.52777777777778
1255	20.2	22
1256	13.44	19.5777777777778
1257	22.2	24
1258	17.6947368421053	27.2456140350877
1259	10.84	12.1
1260	10.6444444444444	14.6111111111111
1261	18.7571428571429	20.5357142857143
1262	17.9666666666667	21.9166666666667
1263	27.3714285714286	29.8571428571429
1264	12.8	17.2820512820513
1265	13.3947368421053	16.9678362573099
1266	13.7	14.952380952381
1267	6.28	10.3
1268	29.875	32.3125
1269	28.12	32.6
1270	8.34285714285714	18.0238095238095
1271	16.7593582887701	17.4893048128342
1272	10.8424242424242	20.6094276094276
1273	9.04444444444444	11.2777777777778
1274	6.82	7.45
1275	28.6088888888889	29.6722222222222
1276	5.2	12
1277	39.2	39.5
1278	8.5	12.25
1279	13.0533333333333	14.0333333333333
1280	23.3368421052632	26.8421052631579
1281	17.8857142857143	18.4642857142857
1282	20.4333333333333	25.5277777777778
1283	-100	-100
1284	13.2	15.8333333333333
1285	22.7428571428571	26.4821428571429
1286	5.4	9.73809523809524
1287	16.1666666666667	17.5416666666667
1288	9.25	10.8333333333333
1289	6.93333333333333	12.8333333333333
1290	28.28	33.6
1291	11.3	14
1292	24.3285714285714	24.3928571428571
1293	13.4	15.5
1294	25.9542857142857	28.6714285714286
1295	26.0872727272727	26.3545454545455
1296	5.2	6.625
1297	7.30909090909091	18.2727272727273
1298	25.8	30.75
1299	2.33333333333333	2.33333333333333
1300	15.15	16.875
1301	15.3333333333333	16.3333333333333
1302	29.1428571428571	29.1428571428571
1303	9.8	17
1304	7.86666666666667	11.6666666666667
1305	12.2	15.5
1306	28.2	28.5
1307	12.3	20.8333333333333
1308	3.2	8.33333333333333
1309	22	22
1310	17	17
1311	20	23.75
1312	36.6666666666667	36.6666666666667
1313	14.9	21.3012820512821
1314	3.06666666666667	5.33333333333333
1315	30.45	32.625
1316	25.8	30.75
1317	8.64	15.6
1318	20.1	21
1319	21.68	28.3666666666667
1320	14.1	20.25
1321	31.1333333333333	31.8333333333333
1322	18.5142857142857	24.5357142857143
1323	20.8133333333333	24.6583333333333
1324	18.71	26.9944444444444
1325	9.14285714285714	16.2301587301587
1326	6	6.375
1327	13.85	15.875
1328	23.3	23.5625
1329	3.375	8.18504901960784
1330	9.9	12
1331	19	22.6296296296296
1332	24.7	25
1333	36.4	38.125
1334	5.72	9.65
1335	29.3333333333333	29.3333333333333
1336	6.8	13.3333333333333
1337	10.6133333333333	21.2888888888889
1338	8.05	17.9166666666667
1339	-100	-100
1340	32.8	35.3333333333333
1341	23.3828571428571	27.2571428571429
1342	9.76666666666667	14.4722222222222
1343	28.15	29.5
1344	5.53333333333333	8.33333333333333
1345	14.0095238095238	17.8809523809524
1346	16.6	25.1666666666667
1347	18.64	19.6
1348	7.37142857142857	10.1785714285714
1349	12.6126984126984	14.9246031746032
1350	7.91428571428571	10.7857142857143
1351	10.1	14.75
1352	22.2	25.125
1353	1.4	3.5
1354	4.4	5.75
1355	3.2	6
1356	30.4333333333333	32.3333333333333
1357	15.8909090909091	24.9090909090909
1358	3.4	5.83333333333333
1359	25.9	30.25
1360	15.25	18.625
1361	0	13.3333333333333
1362	17	25.25
1363	10.3333333333333	12.3333333333333
1364	6.4	7.75
1365	25.0133333333333	28.6333333333333
1366	5.72	14.6
1367	3.2	12
1368	12.2666666666667	21.6767676767677
1369	7.09333333333333	19.5777777777778
1370	10.895	13.475
1371	3.4	5.76666666666667
1372	20.2666666666667	21.6666666666667
1373	8.10909090909091	11.2909090909091
1374	13.16	14.15
1375	7.8	11.7272727272727
1376	11.6	12.125
1377	16.1666666666667	18.9166666666667
1378	15.9684210526316	19.0824561403509
1379	4.48	11.7333333333333
1380	25.7166666666667	27.7916666666667
1381	5.5	6.13888888888889
1382	12.35	14.375
1383	5.33333333333333	9.77777777777778
1384	21.56	23.0333333333333
1385	18.7714285714286	18.8571428571429
1386	26.2	26.5
1387	12.6	16.0555555555556
1388	19.1714285714286	20.8571428571429
1389	17.9666666666667	20.4166666666667
1390	6.66666666666667	16.6666666666667
1391	23.15	29.9166666666667
1392	21.625	21.625
1393	21.2	23.6481481481481
1394	15.0857142857143	18.4285714285714
1395	4.18181818181818	8.04040404040404
1396	11.6	12.5
